Bus,Date,Hour,LMP,LMP DA,Overgeneration,Shortfall
CopperSheet,2020-01-20,3,18.861,,0.0,0.0
CopperSheet,2020-01-20,4,18.072549,,0.0,0.0
CopperSheet,2020-01-20,5,18.861,,0.0,0.0
CopperSheet,2020-01-20,6,19.034194,,0.0,0.0
CopperSheet,2020-01-20,7,22.492903,,0.0,0.0
CopperSheet,2020-01-20,8,25.3,,0.0,0.0
CopperSheet,2020-01-20,9,19.034194,,0.0,0.0
CopperSheet,2020-01-20,10,0.0,,0.0,0.0
CopperSheet,2020-01-20,11,0.0,,0.0,0.0
CopperSheet,2020-01-20,12,0.0,,0.0,0.0
CopperSheet,2020-01-20,13,0.0,,0.0,0.0
CopperSheet,2020-01-20,14,18.072549,,0.0,0.0
CopperSheet,2020-01-20,15,18.861,,0.0,0.0
CopperSheet,2020-01-20,16,20.419032,,0.0,0.0
CopperSheet,2020-01-20,17,23.07,,0.0,0.0
CopperSheet,2020-01-20,18,33.035161,,0.0,0.0
CopperSheet,2020-01-20,19,36.123987,,0.0,0.0
CopperSheet,2020-01-20,20,36.123987,,0.0,0.0
CopperSheet,2020-01-20,21,33.752674,,0.0,0.0
CopperSheet,2020-01-20,22,30.530146,,0.0,0.0
CopperSheet,2020-01-20,23,26.755844,,0.0,0.0
CopperSheet,2020-01-20,24,24.617429,,0.0,0.0
CopperSheet,2020-01-21,1,23.07,,0.0,0.0
CopperSheet,2020-01-21,2,24.617429,,0.0,0.0
CopperSheet,2020-01-21,3,23.875484,,0.0,0.0
CopperSheet,2020-01-21,4,23.129011,,0.0,0.0
CopperSheet,2020-01-21,5,24.617429,,0.0,0.0
CopperSheet,2020-01-21,6,24.617429,,0.0,0.0
CopperSheet,2020-01-21,7,25.908442,,0.0,0.0
CopperSheet,2020-01-21,8,33.035161,,0.0,0.0
CopperSheet,2020-01-21,9,21.116774,,0.0,0.0
CopperSheet,2020-01-21,10,0.0,,0.0,0.0
